station_code,station_name,station_name_medium,station_uic,station_type,station_tier,is_junction,country,lat,lng
BDE,Bunde,Bunde,8400140,stoptreinstation,Local station,False,NL,50.896945953369,5.7366666793823
BNK,Bunnik,Bunnik,8400141,stoptreinstation,Local station,False,NL,52.063056945801,5.1944446563721
BSMZ,Bussum Zuid,Bussum Zuid,8400145,stoptreinstation,Local station,False,NL,52.26583480835,5.1630554199219
CPS,Capelle Schollevaar,Schollevaar,8400147,stoptreinstation,Local station,False,NL,51.954166412354,4.5841665267944
CAS,Castricum,Castricum,8400151,intercitystation,Intercity station,False,NL,52.545833587646,4.6586112976074
CVM,Chevremont,Chevremont,8400152,stoptreinstation,Local station,False,NL,50.876110076904,6.0597224235535
CO,Coevorden,Coevorden,8400153,knooppuntSneltreinstation,Fast-train station,True,NL,52.663612365723,6.7355556488037
CK,Cuijk,Cuijk,8400155,stoptreinstation,Local station,False,NL,51.726682587905,5.8742952346802
CL,Culemborg,Culemborg,8400154,stoptreinstation,Local station,False,NL,51.946666717529,5.2269444465637
DA,Daarlerveen,Daarlerveen,8400164,stoptreinstation,Local station,False,NL,52.4407702,6.5759947
DLN,Dalen,Dalen,8400161,stoptreinstation,Local station,False,NL,52.69416809082,6.7580556869507
DL,Dalfsen,Dalfsen,8400167,sneltreinstation,Fast-train station,False,NL,52.498332977295,6.25861120224
DVNK,De Vink,De Vink,8400188,stoptreinstation,Local station,False,NL,52.147220611572,4.4563889503479
DWE,De Westereen,De Westereen,8400745,stoptreinstation,Local station,False,NL,53.24817,6.03463
DEI,Deinum,Deinum,8400168,stoptreinstation,Local station,False,NL,53.1888115,5.7281572
DDN,Delden,Delden,8400169,stoptreinstation,Local station,False,NL,52.259998321533,6.7161111831665
DT,Delft,Delft,8400170,knooppuntIntercitystation,Intercity station,True,NL,52.00666809082,4.3563890457153
DTCP,Delft Campus,Delft Campus,8400166,stoptreinstation,Local station,False,NL,51.990833282471,4.3647222518921
DZ,Delfzijl,Delfzijl,8400171,stoptreinstation,Local station,False,NL,53.3336625,6.9240797
DZW,Delfzijl West,Delfzijl West,8400175,stoptreinstation,Local station,False,NL,53.3320834,6.9069092
DLD,Den Dolder,Den Dolder,8400179,knooppuntStoptreinstation,Local station,True,NL,52.140277862549,5.2427778244019
GVC,Den Haag Centraal,Den Haag C.,8400282,megastation,Mega station,False,NL,52.080276489258,4.3249998092651
GV,Den Haag HS,Den Haag HS,8400280,knooppuntIntercitystation,Intercity station,True,NL,52.069721221924,4.3225002288818
LAA,Den Haag Laan v NOI,Laan v NOI,8400380,knooppuntStoptreinstation,Local station,True,NL,52.078609466553,4.3427777290344
GVM,Den Haag Mariahoeve,Mariahoeve,8400278,stoptreinstation,Local station,False,NL,52.090557098389,4.3694443702698
GVMW,Den Haag Moerwijk,Moerwijk,8400279,stoptreinstation,Local station,False,NL,52.053890228271,4.3086109161377
YPB,Den Haag Ypenburg,Ypenburg,8400379,stoptreinstation,Local station,False,NL,52.055278778076,4.39222240448
HDR,Den Helder,Den Helder,8400311,intercitystation,Intercity station,False,NL,52.955276489258,4.7611112594605
HDRZ,Den Helder Zuid,Den Helder Zuid,8400303,stoptreinstation,Local station,False,NL,52.932498931885,4.7641668319702
DN,Deurne,Deurne,8400172,stoptreinstation,Local station,False,NL,51.455833435059,5.7888889312744
DV,Deventer,Deventer,8400173,knooppuntIntercitystation,Intercity station,True,NL,52.257499694824,6.1605553627014
DVC,Deventer Colmschate,Colmschate,8400185,stoptreinstation,Local station,False,NL,52.2502784729,6.2144446372986
DID,Didam,Didam,8400174,stoptreinstation,Local station,False,NL,51.933502,6.1324106
DMN,Diemen,Diemen,8400165,stoptreinstation,Local station,False,NL,52.34515,4.967566
DMNZ,Diemen Zuid,Diemen Zuid,8400163,stoptreinstation,Local station,False,NL,52.330276489258,4.9558334350586
DR,Dieren,Dieren,8400176,intercitystation,Intercity station,False,NL,52.044998168945,6.1030554771423
DTC,Doetinchem,Doetinchem,8400177,knooppuntStoptreinstation,Local station,True,NL,51.9585962,6.2962148
DTCH,Doetinchem De Huet,De Huet,8400184,stoptreinstation,Local station,False,NL,51.9591413,6.2598521
DDR,Dordrecht,Dordrecht,8400180,knooppuntIntercitystation,Intercity station,True,NL,51.807220458984,4.668333530426
DDRS,Dordrecht Stadspolders,Stadspolders,8400186,stoptreinstation,Local station,False,NL,51.801944732666,4.7166666984558
DDZD,Dordrecht Zuid,Dordrecht Zuid,8400181,stoptreinstation,Local station,False,NL,51.790000915527,4.6713891029358
DB,Driebergen-Zeist,Driebergen-Zeist,8400182,knooppuntStoptreinstation,Local station,True,NL,52.065277099609,5.25861120224
DRH,Driehuis,Driehuis,8400183,stoptreinstation,Local station,False,NL,52.442501068115,4.6380553245544
DRP,Dronryp,Dronryp,8400192,stoptreinstation,Local station,False,NL,53.1778086,5.6347411
DRON,Dronten,Dronten,8400198,stoptreinstation,Local station,False,NL,52.5344,5.72089
DVN,Duiven,Duiven,8400193,stoptreinstation,Local station,False,NL,51.943332672119,6.0147223472595
DVD,Duivendrecht,Duivendrecht,8400194,knooppuntStoptreinstation,Local station,True,NL,52.323333740234,4.9363889694214
EC,Echt,Echt,8400195,stoptreinstation,Local station,False,NL,51.100555419922,5.8788890838623
EDC,Ede Centrum,Ede C.,8400201,stoptreinstation,Local station,False,NL,52.043609619141,5.668333530426
ED,Ede-Wageningen,Ede-Wageningen,8400200,knooppuntIntercitystation,Intercity station,True,NL,52.027778625488,5.6730556488037
EEM,Eemshaven,Eemshaven,8400202,stoptreinstation,Local station,False,NL,53.458419,6.832
EDN,Eijsden,Eijsden,8400219,stoptreinstation,Local station,False,NL,50.771945953369,5.710000038147
EHV,Eindhoven Centraal,Eindhoven C.,8400206,megastation,Mega station,False,NL,51.443332672119,5.4813890457153
EHS,Eindhoven Strijp-S,Strijp-S,8400196,stoptreinstation,Local station,False,NL,51.451110839844,5.4558334350586
EST,Elst,Elst,8400207,knooppuntStoptreinstation,Local station,True,NL,51.916942596435,5.8550000190735
EMN,Emmen,Emmen,8400208,sneltreinstation,Fast-train station,False,NL,52.790000915527,6.8994445800781
EMNZ,Emmen Zuid,Emmen Zuid,8400407,sneltreinstation,Fast-train station,False,NL,52.748866374691,6.8747806549072
EKZ,Enkhuizen,Enkhuizen,8400210,stoptreinstation,Local station,False,NL,52.699165344238,5.286388874054
ES,Enschede,Enschede,8400212,knooppuntIntercitystation,Intercity station,True,NL,52.222499847412,6.8899998664856
ESE,Enschede De Eschmarke,De Eschmarke,8400217,stoptreinstation,Local station,False,NL,52.221389770508,6.9511113166809
ESK,Enschede Kennispark,Kennispark,8400221,stoptreinstation,Local station,False,NL,52.23749923706,6.8388891220093
EML,Ermelo,Ermelo,8400216,stoptreinstation,Local station,False,NL,52.301666259766,5.6147222518921
ETN,Etten-Leur,Etten-Leur,8400218,intercitystation,Intercity station,False,NL,51.57500076294,4.6358332633972
EGH,Eygelshoven,Eygelshoven,8400338,stoptreinstation,Local station,False,NL,50.890556335449,6.0450000762939
EGHM,Eygelshoven Markt,Eygelshoven Mrkt,8400234,stoptreinstation,Local station,False,NL,50.896049819644,6.0602474212646
FWD,Feanwâlden,Feanwâlden,8400638,stoptreinstation,Local station,False,NL,53.2351834,5.9886615
FN,Franeker,Franeker,8400232,stoptreinstation,Local station,False,NL,53.1824488,5.5483094
GDR,Gaanderen,Gaanderen,8400241,stoptreinstation,Local station,False,NL,51.93074,6.3486
GDM,Geldermalsen,Geldermalsen,8400244,knooppuntStoptreinstation,Local station,True,NL,51.88301,5.27127
GP,Geldrop,Geldrop,8400245,knooppuntStoptreinstation,Local station,True,NL,51.419723510742,5.5505557060242
GLN,Geleen Oost,Geleen Oost,8400246,stoptreinstation,Local station,False,NL,50.966945648193,5.8430557250977
LUT,Geleen-Lutterade,Geleen-Lut.,8400248,stoptreinstation,Local station,False,NL,50.975555419922,5.8247222900391
GZ,Gilze-Rijen,Gilze-Rijen,8400251,stoptreinstation,Local station,False,NL,51.583610534668,4.9261112213135
GBR,Glanerbrug,Glanerbrug,8400262,stoptreinstation,Local station,False,NL,52.218612670898,6.9744443893433
GS,Goes,Goes,8400253,stoptreinstation,Local station,False,NL,51.498054504395,3.8905556201935
GO,Goor,Goor,8400254,stoptreinstation,Local station,False,NL,52.230278015137,6.5844445228577
GR,Gorinchem,Gorinchem,8400256,knooppuntStoptreinstation,Local station,True,NL,51.833889007568,4.9683332443237
GD,Gouda,Gouda,8400258,knooppuntIntercitystation,Intercity station,True,NL,52.017501831055,4.7044444084167
GDG,Gouda Goverwelle,Goverwelle,8400257,stoptreinstation,Local station,False,NL,52.014999389648,4.7408332824707
GBG,Gramsbergen,Gramsbergen,8400259,stoptreinstation,Local station,False,NL,52.60916519165,6.6758332252502
GK,Grijpskerk,Grijpskerk,8400267,stoptreinstation,Local station,False,NL,53.255740325573,6.3097786903381
GN,Groningen,Groningen,8400263,knooppuntIntercitystation,Intercity station,True,NL,53.210556030273,6.5647220611572
GERP,Groningen Europapark,Europapark,8400238,stoptreinstation,Local station,False,NL,53.20480027,6.5854178
GNN,Groningen Noord,Groningen Noord,8400264,stoptreinstation,Local station,False,NL,53.2301469,6.5563172
GW,Grou-Jirnsum,Grou-Jirnsum,8400266,stoptreinstation,Local station,False,NL,53.088890075684,5.8225002288818
HLM,Haarlem,Haarlem,8400285,knooppuntIntercitystation,Intercity station,True,NL,52.38777923584,4.6383333206177
HLMS,Haarlem Spaarnwoude,Spaarnwoude,8400270,stoptreinstation,Local station,False,NL,52.382778167725,4.6730556488037
HWZB,Halfweg-Zwanenburg,Halfweg-Zw.,8400400,stoptreinstation,Local station,False,NL,52.385935,4.747165
HDB,Hardenberg,Hardenberg,8400293,sneltreinstation,Fast-train station,False,NL,52.572776794434,6.6286110877991
HD,Harderwijk,Harderwijk,8400294,knooppuntStoptreinstation,Local station,True,NL,52.337501525879,5.619722366333
HBZM,Hardinxveld Blauwe Zoom,Blauwe Zoom,8400438,stoptreinstation,Local station,False,NL,51.82944,4.81556
GND,Hardinxveld-Giessendam,Hardinxveld-G.,8400295,stoptreinstation,Local station,False,NL,51.830554962158,4.8358335494995
HRN,Haren,Haren,8400297,stoptreinstation,Local station,False,NL,53.176109313965,6.6172223091125
HLG,Harlingen,Harlingen,8400296,stoptreinstation,Local station,False,NL,53.1704205,5.4251932
HLGH,Harlingen Haven,Harlingen Haven,8400298,stoptreinstation,Local station,False,NL,53.174917,5.4112885
HK,Heemskerk,Heemskerk,8400317,stoptreinstation,Local station,False,NL,52.495277404785,4.6869444847107
HAD,Heemstede-Aerdenhout,Heemstede-A.,8400302,intercitystation,Intercity station,False,NL,52.35916519165,4.6066665649414
HR,Heerenveen,Heerenveen,8400305,intercitystation,Intercity station,False,NL,52.961387634277,5.9141664505005
HRY,Heerenveen IJsstadion,IJsstadion,8400301,facultatiefStation,Local station,False,NL,52.935276031494,5.9438886642456
HWD,Heerhugowaard,Heerhugowaard,8400306,knooppuntStoptreinstation,Local station,True,NL,52.669723510742,4.8227777481079
